Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Toronto Maple Leafs,19831984,80,26,45,9,--,61,0.381,25,26,0,303,387,3.79,4.84,21.7,73.6,19.8,76.2,29.4,35.4,--
Toronto Maple Leafs,19331934,48,26,13,9,--,61,0.635,24,26,0,174,119,3.63,2.48,--,--,--,--,--,--,--
Philadelphia Flyers,20212022,82,25,46,--,11,61,0.372,20,24,1,210,294,2.56,3.59,12.6,75.7,8,78.3,31,34,52.1
Detroit Red Wings,19421943,50,25,14,11,--,61,0.61,25,25,0,169,124,3.38,2.48,--,--,--,--,--,--,--
Quebec Nordiques,19791980,80,25,44,11,--,61,0.381,25,25,0,248,313,3.1,3.91,20.8,73.5,17.8,75,27.3,32.6,--
Toronto Maple Leafs,19551956,70,24,33,13,--,61,0.436,24,24,0,153,181,2.19,2.59,--,--,--,--,--,--,--
Carolina Hurricanes,20022003,82,22,43,11,6,61,0.372,20,22,0,171,240,2.09,2.93,13.8,81.9,11.7,83.4,29.4,28.4,52.9
New York Rangers,19501951,70,20,29,21,--,61,0.436,20,20,0,169,201,2.41,2.87,--,--,--,--,--,--,--
Philadelphia Flyers,19681969,76,20,35,21,--,61,0.401,20,20,0,174,225,2.29,2.96,--,--,--,--,28.7,36.1,--
New York Rangers,19411942,48,29,17,2,--,60,0.625,24,29,0,177,143,3.69,2.98,--,--,--,--,--,--,--
St. Louis Blues,20122013,48,29,17,--,2,60,0.625,20,24,5,124,114,2.58,2.38,19.5,84.7,16.1,86.7,27.8,24.2,50.7
Philadelphia Flyers,19941995,48,28,16,4,--,60,0.625,25,28,0,150,132,3.13,2.75,19.6,80.8,15.2,81.9,27.4,26.9,--
New York Rangers,19371938,48,27,15,6,--,60,0.625,26,27,0,149,96,3.1,2,--,--,--,--,--,--,--
New York Rangers,20202021,56,27,23,--,6,60,0.536,24,26,1,176,155,3.14,2.77,20.7,82.3,18.4,87,28.7,29.7,44.5
Seattle Kraken,20212022,82,27,49,--,6,60,0.366,23,24,3,213,284,2.6,3.46,14.6,74.9,11.4,78.5,29,28.9,47.7
Montréal Canadiens,19301931,44,26,10,8,--,60,0.682,24,26,0,129,89,2.93,2.02,--,--,--,--,--,--,--
Edmonton Oilers,19921993,84,26,50,8,--,60,0.357,21,26,0,242,337,2.88,4.01,15.9,77.2,13.5,80.8,27.9,33.8,--
New York Islanders,19901991,80,25,45,10,--,60,0.375,23,25,0,223,290,2.79,3.63,16.1,77.9,12.3,80.5,27.1,31.2,--
Atlanta Thrashers,20002001,82,23,45,12,2,60,0.366,21,23,0,211,289,2.57,3.52,13.7,77.9,11.7,80.2,27.9,32.4,46.1
Detroit Red Wings,19611962,70,23,33,14,--,60,0.429,23,23,0,184,219,2.63,3.13,--,--,--,--,33.2,29,--
Dallas Stars,20202021,56,23,19,--,14,60,0.536,17,21,2,156,148,2.79,2.64,23.6,79.1,21,81.1,30.3,27.1,51.8
Boston Bruins,19491950,70,22,32,16,--,60,0.429,22,22,0,198,228,2.83,3.26,--,--,--,--,--,--,--
Florida Panthers,20012002,82,22,44,10,6,60,0.366,22,22,0,180,250,2.2,3.05,14.7,80.7,12.6,82.7,26.9,32.5,46.1
San Jose Sharks,20222023,82,22,44,--,16,60,0.366,16,21,1,233,315,2.84,3.84,18.4,82.4,12.6,84,29.5,32.2,51
Hartford Whalers,19811982,80,21,41,18,--,60,0.375,21,21,0,264,351,3.3,4.39,23.1,72.1,20.3,74.3,31.1,34.1,--
Hartford Whalers,19801981,80,21,41,18,--,60,0.375,21,21,0,292,372,3.65,4.65,18.7,75.6,14,79.6,28.8,35.4,--
California Golden Seals,19711972,78,21,39,18,--,60,0.385,21,21,0,216,288,2.77,3.69,--,--,--,--,28.1,30.8,--
Minnesota North Stars,19691970,76,19,35,22,--,60,0.395,19,19,0,224,257,2.95,3.38,--,--,--,--,30.8,36.6,--
New Jersey Devils,19851986,80,28,49,3,--,59,0.369,24,28,0,300,374,3.75,4.68,19.6,74.3,18.2,75.5,29.2,31.2,--
Anaheim Ducks,20232024,82,27,50,--,5,59,0.36,21,26,1,203,293,2.48,3.57,17.9,72.4,15.7,76.1,26.8,32.5,46.7
Los Angeles Kings,20122013,48,27,16,--,5,59,0.615,24,25,2,131,114,2.73,2.38,19.9,83.2,19.3,84.5,29.8,25,52
Montréal Canadiens,19271928,44,26,11,7,--,59,0.67,25,26,0,116,48,2.64,1.09,--,--,--,--,--,--,--
Chicago Blackhawks,20222023,82,26,49,--,7,59,0.36,18,24,2,202,299,2.46,3.65,16.4,76.2,12.1,79.2,27,33.6,52.7
Vancouver Canucks,20122013,48,26,15,--,7,59,0.615,20,21,5,122,115,2.54,2.4,15.8,84,13.9,85.2,28.1,28.9,47.6
Winnipeg Jets (1979),19851986,80,26,47,7,--,59,0.369,26,26,0,295,372,3.69,4.65,20.2,74.9,16.3,78.8,31.8,29.9,--
Detroit Red Wings,19361937,48,25,14,9,--,59,0.615,24,25,0,128,102,2.67,2.13,--,--,--,--,--,--,--
Vancouver Canucks,19871988,80,25,46,9,--,59,0.369,25,25,0,272,320,3.4,4,18.6,79.5,14.5,81.9,28.8,30.5,--
Vancouver Canucks,19841985,80,25,46,9,--,59,0.369,18,25,0,284,401,3.55,5.01,19.5,70.5,15,73.2,31.2,33.3,--
Columbus Blue Jackets,20222023,82,25,48,--,9,59,0.36,15,24,1,213,329,2.6,4.01,18.3,75.1,14.3,77.2,29.3,35.4,48.6
Montréal Canadiens,20202021,56,24,21,--,11,59,0.527,20,23,1,158,165,2.82,2.95,19.2,78.5,17.9,83.7,31.2,28.2,48.4
Tampa Bay Lightning,20002001,82,24,47,6,5,59,0.36,22,24,0,201,280,2.45,3.41,12.5,82.9,9.9,85.1,24.6,31.2,46.9
Vancouver Canucks,19731974,78,24,43,11,--,59,0.378,24,24,0,224,296,2.87,3.79,--,--,--,--,28.2,31.7,--
New York Rangers,19511952,70,23,34,13,--,59,0.421,23,23,0,192,219,2.74,3.13,--,--,--,--,--,--,--
Boston Bruins,19551956,70,23,34,13,--,59,0.421,23,23,0,147,185,2.1,2.64,--,--,--,--,--,--,--
Boston Bruins,19471948,60,23,24,13,--,59,0.492,23,23,0,167,168,2.78,2.8,--,--,--,--,--,--,--
Washington Capitals,20032004,82,23,46,10,3,59,0.36,22,23,0,186,253,2.27,3.09,19.2,81.3,17.7,82.3,23.7,31.5,49
Vancouver Canucks,19851986,80,23,44,13,--,59,0.369,22,23,0,282,333,3.53,4.16,21.2,78.6,17.2,81.9,29.5,30.2,--
Los Angeles Kings,19831984,80,23,44,13,--,59,0.369,22,23,0,309,376,3.86,4.7,20.8,72.1,16.1,75.5,30.9,31.7,--
Montréal Canadiens,19281929,44,22,7,15,--,59,0.67,22,22,0,71,43,1.61,0.98,--,--,--,--,--,--,--
Chicago Blackhawks,20032004,82,20,43,11,8,59,0.36,16,20,0,188,259,2.29,3.16,15.8,83.5,11.8,84.8,29.3,30.7,49.4
Colorado Rockies,19771978,80,19,40,21,--,59,0.369,19,19,0,257,305,3.21,3.81,22.6,77.6,20.1,79.8,30,31.6,--
Montréal Canadiens,19261927,44,28,14,2,--,58,0.659,24,28,0,99,67,2.25,1.52,--,--,--,--,--,--,--
Detroit Red Wings,19661967,70,27,39,4,--,58,0.414,27,27,0,212,241,3.03,3.44,--,--,--,--,33.4,32.3,--
New York Rangers,19381939,48,26,16,6,--,58,0.604,25,26,0,149,105,3.1,2.19,--,--,--,--,--,--,--
Boston Bruins,19341935,48,26,16,6,--,58,0.604,24,26,0,129,112,2.69,2.33,--,--,--,--,--,--,--
Detroit Red Wings,19431944,50,26,18,6,--,58,0.58,26,26,0,214,177,4.28,3.54,--,--,--,--,--,--,--
Hartford Whalers,19921993,84,26,52,6,--,58,0.345,23,26,0,284,369,3.38,4.39,17.6,78.3,14.4,80.7,26.1,34.1,--
Philadelphia Flyers,20202021,56,25,23,--,8,58,0.518,17,22,3,160,197,2.86,3.52,19.2,73.1,15.6,73.7,30.2,29.2,54
Boston Bruins,19321933,48,25,15,8,--,58,0.604,22,25,0,124,88,2.58,1.83,--,--,--,--,--,--,--
Detroit Red Wings,19581959,70,25,37,8,--,58,0.414,25,25,0,167,218,2.39,3.11,--,--,--,--,--,--,--
Detroit Red Wings,19321933,48,25,15,8,--,58,0.604,25,25,0,111,93,2.31,1.94,--,--,--,--,--,--,--
New York Islanders,19981999,82,24,48,10,--,58,0.354,23,24,0,194,244,2.37,2.98,15.8,83.5,13.8,85.7,26.3,28.4,50.6
New York Islanders,19992000,82,24,48,9,1,58,0.354,19,24,0,194,275,2.37,3.35,14.1,80,11.6,81.9,26.2,33.4,47.9
Detroit Red Wings,19331934,48,24,14,10,--,58,0.604,20,24,0,113,98,2.35,2.04,--,--,--,--,--,--,--
Los Angeles Kings,19681969,76,24,42,10,--,58,0.382,24,24,0,185,260,2.43,3.42,--,--,--,--,31.9,31.6,--
Pittsburgh Penguins,20032004,82,23,47,8,4,58,0.354,16,23,0,190,303,2.32,3.7,18.1,77.2,13.9,79.1,24.7,33.2,47.2
Detroit Red Wings,19741975,80,23,45,12,--,58,0.363,23,23,0,259,335,3.24,4.19,--,--,--,--,29.3,31.1,--
Vancouver Canucks,19981999,82,23,47,12,--,58,0.354,23,23,0,192,258,2.34,3.15,15.9,82.9,13.4,86.7,23.7,29.4,50.2
Anaheim Ducks,20222023,82,23,47,--,12,58,0.354,13,20,3,206,335,2.51,4.09,15.7,72.1,12.7,72.5,28.4,39.1,46.7
Pittsburgh Penguins,20052006,82,22,46,--,14,58,0.354,17,21,1,243,310,2.96,3.78,19,78.8,15.8,81.2,28,33.2,45.9
Oakland Seals,19691970,76,22,40,14,--,58,0.382,22,22,0,169,243,2.22,3.2,--,--,--,--,28,35.1,--
Philadelphia Flyers,19691970,76,17,35,24,--,58,0.382,17,17,0,197,225,2.59,2.96,--,--,--,--,31.8,35.6,--
Boston Bruins,19941995,48,27,18,3,--,57,0.594,25,27,0,150,127,3.13,2.65,21.8,86.9,19.9,88.5,34.4,24.3,--
Toronto Maple Leafs,19411942,48,27,18,3,--,57,0.594,25,27,0,158,136,3.29,2.83,--,--,--,--,--,--,--
Washington Capitals,20122013,48,27,18,--,3,57,0.594,20,24,3,146,130,3.04,2.71,26.8,77.9,24.4,79.8,28.1,32.3,50.8
Boston Bruins,19281929,44,26,13,5,--,57,0.648,25,26,0,89,52,2.02,1.18,--,--,--,--,--,--,--
Toronto Maple Leafs,20122013,48,26,17,--,5,57,0.594,24,26,0,145,128,3.02,2.67,18.7,87.9,16.3,88.5,26.3,32.3,50.1
Chicago Blackhawks,19341935,48,26,17,5,--,57,0.594,26,26,0,118,88,2.46,1.83,--,--,--,--,--,--,--
Montréal Canadiens,19311932,48,25,16,7,--,57,0.594,22,25,0,128,111,2.67,2.31,--,--,--,--,--,--,--
Toronto Maple Leafs,19851986,80,25,48,7,--,57,0.356,21,25,0,311,386,3.89,4.83,18.3,77.3,15.3,79.2,31.3,34.7,--
San Jose Sharks,20122013,48,25,16,--,7,57,0.594,17,17,8,116,112,2.42,2.33,20.1,85,17.8,87.1,31.8,29,53.4
Arizona Coyotes,20212022,82,25,50,--,7,57,0.348,18,24,1,206,309,2.51,3.77,13.9,75,11.9,76.2,25.9,35.5,47.3
Boston Bruins,19421943,50,24,17,9,--,57,0.57,24,24,0,195,176,3.9,3.52,--,--,--,--,--,--,--
Toronto Maple Leafs,19371938,48,24,15,9,--,57,0.594,23,24,0,151,127,3.15,2.65,--,--,--,--,--,--,--
Winnipeg Jets (1979),19931994,84,24,51,9,--,57,0.339,23,24,0,245,344,2.92,4.1,19.4,79.6,15.4,82.5,29.4,33.3,--
Toronto Maple Leafs,19901991,80,23,46,11,--,57,0.356,19,23,0,241,318,3.01,3.98,17.6,77.5,15.9,81.8,29.3,32.2,--
Toronto Maple Leafs,19481949,60,22,25,13,--,57,0.475,22,22,0,147,161,2.45,2.68,--,--,--,--,--,--,--
Columbus Blue Jackets,20012002,82,22,47,8,5,57,0.348,20,22,0,164,255,2,3.11,14,83,11.8,84,25,30.1,50.1
Colorado Rockies,19801981,80,22,45,13,--,57,0.356,22,22,0,258,344,3.23,4.3,21.1,75.3,18.9,77,29.6,29.3,--
Cleveland Barons,19771978,80,22,45,13,--,57,0.356,22,22,0,230,325,2.88,4.06,15.1,74.2,12.2,75.4,26.7,32.8,--
Toronto Maple Leafs,19561957,70,21,34,15,--,57,0.407,21,21,0,174,192,2.49,2.74,--,--,--,--,--,--,--
Detroit Red Wings,19821983,80,21,44,15,--,57,0.356,21,21,0,263,344,3.29,4.3,13.8,72.6,10.5,75,29.6,29,--
St. Louis Blues,20052006,82,21,46,--,15,57,0.348,14,17,4,193,284,2.35,3.46,14.7,82.2,13.1,83.5,28.5,30.6,50.7
Vancouver Canucks,19771978,80,20,43,17,--,57,0.356,20,20,0,239,320,2.99,4,22.5,71.5,19.9,72.8,25.7,30.8,--
New York Rangers,20122013,48,26,18,--,4,56,0.583,18,22,4,126,108,2.63,2.25,15.7,81.1,13.1,84.5,30.9,28.2,50
New York Rangers,19261927,44,25,13,6,--,56,0.636,22,25,0,95,72,2.16,1.64,--,--,--,--,--,--,--
Boston Bruins,19411942,48,25,17,6,--,56,0.583,21,25,0,160,118,3.33,2.46,--,--,--,--,--,--,--
Ottawa Senators,20122013,48,25,17,--,6,56,0.583,19,21,4,112,100,2.33,2.08,15.9,88,15.3,89.2,33.1,31.3,49.2
Toronto Maple Leafs,19391940,48,25,17,6,--,56,0.583,24,25,0,134,110,2.79,2.29,--,--,--,--,--,--,--
Boston Bruins,19451946,50,24,18,8,--,56,0.56,24,24,0,167,156,3.34,3.12,--,--,--,--,--,--,--
Detroit Red Wings,19351936,48,24,16,8,--,56,0.583,23,24,0,124,103,2.58,2.15,--,--,--,--,--,--,--
Detroit Red Wings,20122013,48,24,16,--,8,56,0.583,20,22,2,122,110,2.54,2.29,18.4,81.7,15.7,83.5,30.1,27.5,50.8
Vancouver Canucks,19701971,78,24,46,8,--,56,0.359,24,24,0,229,296,2.94,3.79,--,--,--,--,28.6,34.7,--
Arizona Coyotes,20142015,82,24,50,--,8,56,0.341,14,19,5,165,267,2.01,3.26,20,76.7,17,78.1,29.2,33.2,51.9
New York Rangers,19621963,70,22,36,12,--,56,0.4,22,22,0,211,233,3.01,3.33,--,--,--,--,28.3,38,--
Philadelphia Flyers,20062007,82,22,48,--,12,56,0.341,18,21,1,213,297,2.6,3.62,14.1,84.5,10.4,88.1,28.8,32.6,47.1
Toronto Maple Leafs,19811982,80,20,44,16,--,56,0.35,20,20,0,298,380,3.73,4.75,20.3,73,18.2,75.8,29.1,34.7,--
New York Islanders,19731974,78,19,41,18,--,56,0.359,19,19,0,182,247,2.33,3.17,--,--,--,--,26,30.6,--
Detroit Red Wings,19801981,80,19,43,18,--,56,0.35,19,19,0,252,339,3.15,4.24,19,74.1,15.2,76.3,30.9,30,--
Calgary Flames,20202021,56,26,27,--,3,55,0.491,22,25,1,155,160,2.77,2.86,18.3,80.2,14.3,81.4,30.2,28.2,50
Minnesota Wild,20122013,48,26,19,--,3,55,0.573,19,22,4,118,125,2.46,2.6,17.9,80.7,17.9,81.5,28.8,27.1,52.5
New York Islanders,20122013,48,24,17,--,7,55,0.573,18,20,4,135,136,2.81,2.83,19.9,80.3,19.9,81.7,30.9,28.2,49.7
Chicago Blackhawks,20202021,56,24,25,--,7,55,0.491,15,22,2,159,184,2.84,3.29,21.7,76.8,17.7,78.8,29.2,33.7,46.3
Chicago Blackhawks,19571958,70,24,39,7,--,55,0.393,24,24,0,163,202,2.33,2.89,--,--,--,--,--,--,--
Calgary Flames,19941995,48,24,17,7,--,55,0.573,23,24,0,163,135,3.4,2.81,18.5,85.1,17.1,88,30.2,29.3,--
Columbus Blue Jackets,20122013,48,24,17,--,7,55,0.573,14,19,5,115,115,2.4,2.4,14.2,82.6,12.9,84.7,26.7,29.9,52
Montréal Canadiens,20212022,82,22,49,--,11,55,0.335,16,19,3,218,317,2.66,3.87,13.7,75.6,8.9,77.7,29.8,34.4,49.2
Detroit Red Wings,19701971,78,22,45,11,--,55,0.353,22,22,0,209,308,2.68,3.95,--,--,--,--,31.6,32.2,--
Detroit Red Wings,19461947,60,22,27,11,--,55,0.458,22,22,0,190,193,3.17,3.22,--,--,--,--,--,--,--
New York Rangers,19471948,60,21,26,13,--,55,0.458,21,21,0,176,201,2.93,3.35,--,--,--,--,--,--,--
Montréal Canadiens,19361937,48,24,18,6,--,54,0.563,20,24,0,115,111,2.4,2.31,--,--,--,--,--,--,--
Toronto Maple Leafs,19321933,48,24,18,6,--,54,0.563,23,24,0,119,111,2.48,2.31,--,--,--,--,--,--,--
Montreal Maroons,19271928,44,24,14,6,--,54,0.614,22,24,0,96,77,2.18,1.75,--,--,--,--,--,--,--
Arizona Coyotes,20202021,56,24,26,--,6,54,0.482,19,21,3,150,174,2.68,3.11,20.8,80.8,18.5,82,27.5,30.5,49.1
New York Rangers,19311932,48,23,17,8,--,54,0.563,20,23,0,134,112,2.79,2.33,--,--,--,--,--,--,--
New York Rangers,19321933,48,23,17,8,--,54,0.563,22,23,0,135,107,2.81,2.23,--,--,--,--,--,--,--
Buffalo Sabres,20142015,82,23,51,--,8,54,0.329,14,15,8,153,269,1.87,3.28,13.4,75.1,9.8,77.8,24.2,35.6,44.9
Los Angeles Kings,19851986,80,23,49,8,--,54,0.338,20,23,0,284,389,3.55,4.86,17.5,71.9,13.5,74.4,30.3,32.6,--
New Jersey Devils,19841985,80,22,48,10,--,54,0.338,22,22,0,264,346,3.3,4.33,19.4,76.7,16.1,79.6,29.7,29.9,--
New York Islanders,19951996,82,22,50,10,--,54,0.329,20,22,0,229,315,2.79,3.84,18.8,78.3,14.8,80.2,28.2,32,--
New York Rangers,19631964,70,22,38,10,--,54,0.386,22,22,0,186,242,2.66,3.46,--,--,--,--,31.9,37.5,--
New York Rangers,19601961,70,22,38,10,--,54,0.386,22,22,0,204,248,2.91,3.54,--,--,--,--,30.4,37.2,--
Chicago Blackhawks,19491950,70,22,38,10,--,54,0.386,22,22,0,203,244,2.9,3.49,--,--,--,--,--,--,--
Montreal Maroons,19351936,48,22,16,10,--,54,0.563,22,22,0,114,106,2.38,2.21,--,--,--,--,--,--,--
Detroit Red Wings,19811982,80,21,47,12,--,54,0.338,21,21,0,270,351,3.38,4.39,16.5,73.5,14.1,77,33.4,28.2,--
Colorado Rockies,19761977,80,20,46,14,--,54,0.338,20,20,0,226,307,2.83,3.84,--,--,--,--,28.6,35.2,--
Atlanta Thrashers,20012002,82,19,47,11,5,54,0.329,16,19,0,187,288,2.28,3.51,12.1,81.8,8.2,82.7,24.2,35.5,46.3
Tampa Bay Lightning,19992000,82,19,47,9,7,54,0.329,19,19,0,204,310,2.49,3.78,14,80.7,12.1,83,25.4,30.4,50.4
Pittsburgh Penguins,19841985,80,24,51,5,--,53,0.331,21,24,0,276,385,3.45,4.81,17.3,76,11.1,78.3,28.1,37,--
Chicago Blackhawks,19941995,48,24,19,5,--,53,0.552,22,24,0,156,115,3.25,2.4,24.5,84.2,23.1,87.3,30.1,24.9,--
Montreal Maroons,19341935,48,24,19,5,--,53,0.552,22,24,0,123,92,2.56,1.92,--,--,--,--,--,--,--
Boston Bruins,19361937,48,23,18,7,--,53,0.552,21,23,0,120,110,2.5,2.29,--,--,--,--,--,--,--
Toronto Maple Leafs,19311932,48,23,18,7,--,53,0.552,19,23,0,155,127,3.23,2.65,--,--,--,--,--,--,--
Tampa Bay Lightning,19921993,84,23,54,7,--,53,0.315,20,23,0,245,332,2.92,3.95,17.5,74.4,14.6,76.5,30.2,30.4,--
Chicago Blackhawks,19451946,50,23,20,7,--,53,0.53,23,23,0,200,178,4,3.56,--,--,--,--,--,--,--
Minnesota North Stars,19741975,80,23,50,7,--,53,0.331,23,23,0,221,341,2.76,4.26,--,--,--,--,27.5,35.1,--
Toronto Maple Leafs,19301931,44,22,13,9,--,53,0.602,22,22,0,118,99,2.68,2.25,--,--,--,--,--,--,--
Toronto Maple Leafs,19421943,50,22,19,9,--,53,0.53,22,22,0,198,159,3.96,3.18,--,--,--,--,--,--,--
Vancouver Canucks,19721973,78,22,47,9,--,53,0.34,22,22,0,233,339,2.99,4.35,--,--,--,--,29.7,32.5,--
Montreal Maroons,19361937,48,22,17,9,--,53,0.552,20,22,0,126,110,2.63,2.29,--,--,--,--,--,--,--
Toronto Maple Leafs,19571958,70,21,38,11,--,53,0.379,21,21,0,192,226,2.74,3.23,--,--,--,--,--,--,--
Detroit Red Wings,19401941,48,21,16,11,--,53,0.552,18,21,0,112,102,2.33,2.13,--,--,--,--,--,--,--
St. Louis Blues,19771978,80,20,47,13,--,53,0.331,20,20,0,195,304,2.44,3.8,16.7,73.3,15.6,74.4,27.8,29.8,--
Toronto Maple Leafs,19441945,50,24,22,4,--,52,0.52,24,24,0,183,161,3.66,3.22,--,--,--,--,--,--,--
Ottawa Senators (1917),19251926,36,24,8,4,--,52,0.722,23,24,0,77,42,2.14,1.17,--,--,--,--,--,--,--
Toronto Maple Leafs,19351936,48,23,19,6,--,52,0.542,19,23,0,126,106,2.63,2.21,--,--,--,--,--,--,--
Chicago Blackhawks,19391940,48,23,19,6,--,52,0.542,23,23,0,112,120,2.33,2.5,--,--,--,--,--,--,--
Chicago Blackhawks,20232024,82,23,53,--,6,52,0.317,17,22,1,178,289,2.17,3.52,16.6,75.8,13.2,77.1,26.3,32.7,46.3
New Jersey Devils,19941995,48,22,18,8,--,52,0.542,21,22,0,136,121,2.83,2.52,13.4,81.2,11.6,83.2,30.1,25.4,--
Washington Capitals,19941995,48,22,18,8,--,52,0.542,22,22,0,136,120,2.83,2.5,19.9,84.6,19,90.5,28.9,24.8,--
New York Islanders,20002001,82,21,51,7,3,52,0.317,19,21,0,185,268,2.26,3.27,13.2,82.3,9.6,84.3,27.5,29,48.7
New York Rangers,19281929,44,21,13,10,--,52,0.591,19,21,0,72,65,1.64,1.48,--,--,--,--,--,--,--
Buffalo Sabres,20132014,82,21,51,--,10,52,0.317,11,14,7,150,243,1.83,2.96,14.1,81.4,12.1,83.2,26.3,34.3,46.8
Toronto Maple Leafs,19871988,80,21,49,10,--,52,0.325,20,21,0,273,345,3.41,4.31,15.6,77.9,13,80.7,30.1,34,--
New York Rangers,19641965,70,20,38,12,--,52,0.371,20,20,0,179,246,2.56,3.51,--,--,--,--,28.7,33.9,--
Quebec Nordiques,19911992,80,20,48,12,--,52,0.325,20,20,0,255,318,3.19,3.98,17.1,79.3,13.5,82,27.3,31.8,--
New York Rangers,19541955,70,17,35,18,--,52,0.371,17,17,0,150,210,2.14,3,--,--,--,--,--,--,--
Chicago Blackhawks,19301931,44,24,17,3,--,51,0.58,23,24,0,108,78,2.45,1.77,--,--,--,--,--,--,--
Winnipeg Jets,20122013,48,24,21,--,3,51,0.531,18,22,2,126,141,2.63,2.94,13.8,79.7,11.7,80.4,28.9,29.7,48.9
Ottawa Senators,20202021,56,23,28,--,5,51,0.455,18,21,2,155,189,2.77,3.38,15.5,79,12.6,83,29.7,32.1,47.4
Montreal Maroons,19291930,44,23,16,5,--,51,0.58,21,23,0,141,114,3.2,2.59,--,--,--,--,--,--,--
Buffalo Sabres,19941995,48,22,19,7,--,51,0.531,21,22,0,130,119,2.71,2.48,18.6,85.5,15.7,91.4,26.6,30.4,--
Montréal Canadiens,19291930,44,21,14,9,--,51,0.58,15,21,0,142,114,3.23,2.59,--,--,--,--,--,--,--
Phoenix Coyotes,20122013,48,21,18,--,9,51,0.531,16,17,4,121,125,2.52,2.6,14.8,79.9,13.6,81.1,30.9,30.6,52
Pittsburgh Penguins,19681969,76,20,45,11,--,51,0.336,20,20,0,189,252,2.49,3.32,--,--,--,--,29.4,34.2,--
Boston Bruins,19271928,44,20,13,11,--,51,0.58,19,20,0,77,70,1.75,1.59,--,--,--,--,--,--,--
Montréal Canadiens,19471948,60,20,29,11,--,51,0.425,20,20,0,147,169,2.45,2.82,--,--,--,--,--,--,--
Chicago Blackhawks,19331934,48,20,17,11,--,51,0.531,19,20,0,88,83,1.83,1.73,--,--,--,--,--,--,--
Winnipeg Jets (1979),19791980,80,20,49,11,--,51,0.319,20,20,0,214,314,2.68,3.93,18.8,77.1,15.8,78.6,28.3,31.7,--
Minnesota North Stars,19871988,80,19,48,13,--,51,0.319,18,19,0,242,349,3.03,4.36,18,75,14.4,77.3,31,33.4,--
Colorado Rockies,19791980,80,19,48,13,--,51,0.319,19,19,0,234,308,2.93,3.85,18,77.3,17,79.9,29.4,28.6,--
California Golden Seals,19741975,80,19,48,13,--,51,0.319,19,19,0,212,316,2.65,3.95,--,--,--,--,26.9,33.8,--
Minnesota North Stars,19681969,76,18,43,15,--,51,0.336,18,18,0,189,270,2.49,3.55,--,--,--,--,30.8,34,--
Buffalo Sabres,19711972,78,16,43,19,--,51,0.327,16,16,0,203,289,2.6,3.71,--,--,--,--,27.2,35.9,--
Toronto Maple Leafs,19431944,50,23,23,4,--,50,0.5,23,23,0,214,174,4.28,3.48,--,--,--,--,--,--,--
Vancouver Canucks,20202021,56,23,29,--,4,50,0.446,17,20,3,148,187,2.64,3.34,17.4,79.8,14.8,83.1,29.1,33.4,52.3
New York Rangers,19341935,48,22,20,6,--,50,0.521,20,22,0,137,139,2.85,2.9,--,--,--,--,--,--,--
New York Rangers,19461947,60,22,32,6,--,50,0.417,22,22,0,167,186,2.78,3.1,--,--,--,--,--,--,--
Boston Bruins,19351936,48,22,20,6,--,50,0.521,19,22,0,92,83,1.92,1.73,--,--,--,--,--,--,--
Montréal Canadiens,19331934,48,22,20,6,--,50,0.521,19,22,0,99,101,2.06,2.1,--,--,--,--,--,--,--
Montreal Maroons,19321933,48,22,20,6,--,50,0.521,19,22,0,135,119,2.81,2.48,--,--,--,--,--,--,--
New York Rangers,19401941,48,21,19,8,--,50,0.521,21,21,0,143,125,2.98,2.6,--,--,--,--,--,--,--
New York Rangers,19331934,48,21,19,8,--,50,0.521,20,21,0,120,113,2.5,2.35,--,--,--,--,--,--,--
Toronto Maple Leafs,19941995,48,21,19,8,--,50,0.521,21,21,0,135,146,2.81,3.04,17,84.9,14.7,87.6,31.7,31.9,--
Chicago Blackhawks,19351936,48,21,19,8,--,50,0.521,21,21,0,93,92,1.94,1.92,--,--,--,--,--,--,--
Chicago Blackhawks,19481949,60,21,31,8,--,50,0.417,21,21,0,173,211,2.88,3.52,--,--,--,--,--,--,--
Ottawa Senators (1917),19291930,44,21,15,8,--,50,0.568,17,21,0,138,118,3.14,2.68,--,--,--,--,--,--,--
Detroit Red Wings,19451946,50,20,20,10,--,50,0.5,20,20,0,146,159,2.92,3.18,--,--,--,--,--,--,--
Ottawa Senators (1917),19271928,44,20,14,10,--,50,0.568,19,20,0,78,57,1.77,1.3,--,--,--,--,--,--,--
New York Rangers,19351936,48,19,17,12,--,50,0.521,15,19,0,91,96,1.9,2,--,--,--,--,--,--,--
Montréal Canadiens,19421943,50,19,19,12,--,50,0.5,19,19,0,181,191,3.62,3.82,--,--,--,--,--,--,--
Chicago Blackhawks,19551956,70,19,39,12,--,50,0.357,19,19,0,155,216,2.21,3.09,--,--,--,--,--,--,--
New York Americans,19281929,44,19,13,12,--,50,0.568,18,19,0,53,53,1.2,1.2,--,--,--,--,--,--,--
New York Rangers,19521953,70,17,37,16,--,50,0.357,17,17,0,152,211,2.17,3.01,--,--,--,--,--,--,--
Philadelphia Flyers,20122013,48,23,22,--,3,49,0.51,20,22,1,132,139,2.75,2.9,21.6,85.9,19.9,87,29,28.6,48.5
